id;macoquan;tencoquan;noidung;tendaidien;sudung
1;hack;payment synthesize Idaho;seize Glen Refined;Mandatory Assistant;1215
2;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;99583
3;Naira iterate;Unbranded Plastic Chips Brand Regional;Generic B2B;olive;46369
4;one-to-one Indiana;holistic;Architect;Beauty dynamic schemas;60278
5;clear-thinking Frozen Licensed;Group hard drive Personal Loan Account;Unbranded SCSI;Rustic Steel Shirt drive;81055
6;Strategist Shirt;navigate redefine;generating bypassing Bypass;Plastic Movies;7535
7;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;enhance Multi-channelled purple;Response;60617
8;Synergized;calculate Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;solution connecting;96797
9;Refined redundant;Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;58991
10;mesh partnerships;array Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;76891
