id;ma;ten;thoigiantao;thoigianbatdau;thoigianketthuc;muctieu;noidung;tinhcapthiet;ketqua;xeploai;trangthai;sudung
1;Home Loan Account Grass-roots;Director Personal Loan Account;2020-04-06;2020-04-06;2020-04-06;Pants;Avon;85081;Gorgeous;80586;17337;5565
2;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;2020-04-05;2020-04-06;2020-04-05;Networked Fish Tanzanian Shilling;hard drive Mexico Gardens;83858;mint green Director system;19950;50761;73624
3;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;2020-04-06;2020-04-05;2020-04-06;Montenegro;frictionless;45426;Bahamas;54892;98996;20173
4;Trinidad and Tobago Dollar;Customer-focused;2020-04-05;2020-04-06;2020-04-05;Investment Account;Investment Account cross-platform;10669;transmitting parse infrastructures;93293;73086;99092
5;mint green streamline Mobility;Arizona synthesizing Fresh;2020-04-05;2020-04-05;2020-04-06;Bacon Mouse open-source;payment National;31619;Maryland Tanzanian Shilling Lights;71378;37694;89966
6;Money Market Account Saint Helena;Borders Grass-roots;2020-04-05;2020-04-06;2020-04-06;Bahrain Future;Bouvet Island (Bouvetoya) experiences;33281;array Belize Dollar;16673;79402;87862
7;Borders reboot;mobile Cheese;2020-04-06;2020-04-05;2020-04-06;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;53648;generate;45700;12748;60395
8;Buckinghamshire Cameroon;Intuitive application;2020-04-05;2020-04-06;2020-04-06;Mexican Peso Mexican Unidad de Inversion (UDI) Portugal;Money Market Account;82679;Interactions;34252;58339;22735
9;vortals value-added;Salad Connecticut;2020-04-06;2020-04-06;2020-04-06;Clothing;Personal Loan Account Awesome International;79008;Clothing deposit quantify;37443;60671;6892
10;Handmade Unbranded;Chief Coves Concrete;2020-04-05;2020-04-06;2020-04-05;Fresh;strategy instruction set Persistent;60789;streamline navigate;20557;80285;78778
