id;madutoan;tendutoan;noidung;sudung
1;Money Market Account;synergize;JSON National;46570
2;Rue District;Assimilated Unions;Devolved;57763
3;Table Automotive;integrated;modular red;21268
4;Bedfordshire Strategist;Towels applications;Zimbabwe;18446
5;matrices application;index indigo;sticky Expressway Checking Account;37772
6;generating Arkansas;synthesize;Macedonia Japan;48108
7;Borders hack;Pants;Tasty navigate didactic;89743
8;Indonesia auxiliary;Pizza bus withdrawal;Cyprus;25388
9;olive;Kids Incredible;Florida THX Idaho;72081
10;open-source;pixel SAS parsing;Branding Concrete;40639
