id;manguonkinhphi;tennguonkinhphi;noidung;sotiencap;sudung
1;Practical Steel Chips;Berkshire concept;Illinois robust;53726;12887
2;Rubber Shirt;Pakistan Rupee;Chicken;34566;41166
3;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;3180;8870
4;Granite Island;Regional;Bedfordshire;69039;32158
5;Licensed;Credit Card Account Sleek;Sausages streamline Home;86830;80620
6;quantify;Manager;cultivate Bedfordshire;61825;75995
7;Kiribati monitor;Games;Metal;68716;89520
8;Buckinghamshire Antarctica (the territory South of 60 deg S) Refined;back-end enhance;optimal;37728;18228
9;Kentucky;blue internet solution Concrete;distributed Ranch impactful;64882;49844
10;Awesome Russian Federation;Pennsylvania Michigan;Cotton encompassing;36308;89964
