id;matiendo;kybaocao;noidung;thoigianbatdau;thoigianketthuc;khoiluonghoanthanh;ghichu;sudung
1;tertiary;USB;Phased payment;2020-04-06;2020-04-06;57329;navigating seize generate;42203
2;strategic;microchip Ergonomic Auto Loan Account;Fantastic Fresh Ball;2020-04-06;2020-04-06;91551;card Home Loan Account Applications;39664
3;Factors Soft;black Beauty;Soap;2020-04-05;2020-04-06;84640;Communications Pants;62333
4;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;2020-04-06;2020-04-05;233;Engineer Toys Fantastic;31459
5;solid state;Soft Quality Mount;Awesome;2020-04-05;2020-04-05;75839;invoice calculate feed;63723
6;Engineer Central deposit;Associate Branding Small Metal Soap;Officer New Hampshire Unions;2020-04-06;2020-04-06;12052;card azure Frozen;42176
7;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut;2020-04-06;2020-04-06;88499;Greenland models streamline;57242
8;haptic;bluetooth policy;Timor-Leste e-commerce;2020-04-05;2020-04-06;41750;Track;99034
9;Outdoors;Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;2020-04-06;2020-04-06;47978;Utah zero defect;39828
10;Practical killer Russian Federation;Adaptive Practical B2C;SQL;2020-04-05;2020-04-06;58910;24/7;91033
